"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"서울특별시교육청","서울특별시교육청","서울특별시 성북구","S010000377","경동고등학교","04","공립","N","","8","170","21.3","8","188","23.5","7","166","23.7","3","9","3","0","0","0","26","533","20.5","57","9.4"
"서울특별시교육청","서울특별시교육청","서울특별시 동작구","S010000378","경문고등학교","04","사립","N","","8","206","25.8","8","219","27.4","6","151","25.2","0","0","0","0","0","0","22","576","26.2","45","12.8"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010000379","경복고등학교","04","공립","N","","10","190","19","10","224","22.4","11","220","20","3","18","6","0","0","0","34","652","19.2","69","9.4"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000380","경복여자고등학교","04","사립","N","","8","202","25.3","8","216","27","8","225","28.1","0","0","0","0","0","0","24","643","26.8","48","13.4"
"서울특별시교육청","서울특별시교육청","서울특별시 마포구","S010000381","경성고등학교","04","사립","N","","8","196","24.5","8","214","26.8","8","227","28.4","0","0","0","0","0","0","24","637","26.5","47","13.6"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010000382","경신고등학교","04","사립","N","","8","150","18.8","8","179","22.4","9","169","18.8","0","0","0","0","0","0","25","498","19.9","46","10.8"
"서울특별시교육청","서울특별시교육청","서울특별시 구로구","S010000383","경인고등학교","04","공립","N","","13","333","25.6","13","359","27.6","13","367","28.2","3","16","5.3","0","0","0","42","1075","25.6","78","13.8"
"서울특별시교육청","서울특별시교육청","서울특별시 동대문구","S010000384","경희고등학교","04","사립","N","","8","253","31.6","8","230","28.8","8","244","30.5","0","0","0","0","0","0","24","727","30.3","49","14.8"
"서울특별시교육청","서울특별시교육청","서울특별시 동대문구","S010000385","경희여자고등학교","04","사립","N","","7","127","18.1","7","152","21.7","7","163","23.3","0","0","0","0","0","0","21","442","21","52","8.5"
"서울특별시교육청","서울특별시교육청","서울특별시 성북구","S010000386","계성고등학교","04","사립","N","","10","251","25.1","10","253","25.3","10","282","28.2","3","16","5.3","0","0","0","33","802","24.3","65","12.3"
"서울특별시교육청","서울특별시교육청","서울특별시 성북구","S010000387","고려대학교사범대학부속고등학교","04","사립","N","","9","217","24.1","9","238","26.4","9","251","27.9","0","0","0","0","0","0","27","706","26.1","56","12.6"
"서울특별시교육청","서울특별시교육청","서울특별시 구로구","S010000388","고척고등학교","04","공립","N","","9","228","25.3","9","245","27.2","9","253","28.1","3","13","4.3","0","0","0","30","739","24.6","59","12.5"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000389","공항고등학교","04","공립","N","","8","208","26","8","218","27.3","8","200","25","2","7","3.5","0","0","0","26","633","24.3","54","11.7"
"서울특별시교육청","서울특별시교육청","서울특별시 영등포구","S010000390","관악고등학교","04","공립","N","","9","229","25.4","9","245","27.2","9","242","26.9","3","9","3","0","0","0","30","725","24.2","55","13.2"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000391","광남고등학교","04","공립","N","","14","348","24.9","14","360","25.7","14","380","27.1","0","0","0","0","0","0","42","1088","25.9","88","12.4"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000392","광문고등학교","04","사립","N","","13","337","25.9","13","346","26.6","13","345","26.5","0","0","0","0","0","0","39","1028","26.4","75","13.7"
"서울특별시교육청","서울특별시교육청","서울특별시 마포구","S010000393","광성고등학교","04","사립","N","","10","237","23.7","10","243","24.3","9","267","29.7","0","0","0","0","0","0","29","747","25.8","57","13.1"
"서울특별시교육청","서울특별시교육청","서울특별시 관악구","S010000394","광신고등학교","04","사립","N","","8","164","20.5","8","172","21.5","9","185","20.6","0","0","0","0","0","0","25","521","20.8","50","10.4"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000395","광양고등학교","04","공립","N","","7","141","20.1","7","163","23.3","8","179","22.4","3","18","6","0","0","0","25","501","20","49","10.2"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000396","광영고등학교","04","사립","N","","12","244","20.3","12","302","25.2","13","275","21.2","0","0","0","0","0","0","37","821","22.2","72","11.4"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000397","광영여자고등학교","04","사립","N","","12","250","20.8","12","271","22.6","13","320","24.6","0","0","0","0","0","0","37","841","22.7","73","11.5"
"서울특별시교육청","서울특별시교육청","서울특별시 구로구","S010000398","구로고등학교","04","공립","N","","11","297","27","11","295","26.8","11","310","28.2","0","0","0","0","0","0","33","902","27.3","71","12.7"
"서울특별시교육청","서울특별시교육청","서울특별시 구로구","S010000399","구일고등학교","04","공립","N","","9","220","24.4","10","245","24.5","10","261","26.1","0","0","0","0","0","0","29","726","25","64","11.3"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000400","압구정고등학교","04","공립","N","","9","179","19.9","9","200","22.2","10","197","19.7","0","0","0","0","0","0","28","576","20.6","61","9.4"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000401","금옥여자고등학교","04","공립","N","","9","233","25.9","9","229","25.4","9","211","23.4","3","15","5","0","0","0","30","688","22.9","56","12.3"
"서울특별시교육청","서울특별시교육청","서울특별시 금천구","S010000402","금천고등학교","04","공립","N","","9","197","21.9","9","230","25.6","10","244","24.4","3","19","6.3","0","0","0","31","690","22.3","60","11.5"
"서울특별시교육청","서울특별시교육청","서울특별시 관악구","S010000403","남강고등학교","04","사립","N","","10","205","20.5","10","220","22","10","226","22.6","0","0","0","0","0","0","30","651","21.7","58","11.2"
"서울특별시교육청","서울특별시교육청","서울특별시 노원구","S010000404","노원고등학교","04","공립","N","","8","172","21.5","8","182","22.8","9","197","21.9","1","4","4","0","0","0","26","555","21.3","52","10.7"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000405","단국대학교사범대학부속고등학교","04","사립","N","","13","344","26.5","13","379","29.2","13","389","29.9","0","0","0","0","0","0","39","1112","28.5","76","14.6"
"서울특별시교육청","서울특별시교육청","서울특별시 관악구","S010000406","당곡고등학교","04","공립","N","","9","230","25.6","9","249","27.7","9","254","28.2","0","0","0","0","0","0","27","733","27.1","62","11.8"
"서울특별시교육청","서울특별시교육청","서울특별시 동대문구","S010000407","대광고등학교","04","사립","N","","8","248","31","10","304","30.4","9","279","31","0","0","0","0","0","0","27","831","30.8","69","12"
"서울특별시교육청","서울특별시교육청","서울특별시 은평구","S010000408","대성고등학교","04","사립","N","","11","270","24.5","11","292","26.5","10","294","29.4","0","0","0","0","0","0","32","856","26.8","62","13.8"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010000409","대신고등학교","04","사립","N","","8","130","16.3","8","158","19.8","9","203","22.6","0","0","0","0","0","0","25","491","19.6","47","10.4"
"서울특별시교육청","서울특별시교육청","서울특별시 영등포구","S010000410","대영고등학교","04","공립","N","","9","242","26.9","9","246","27.3","9","243","27","2","10","5","0","0","0","29","741","25.6","56","13.2"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000411","대원고등학교","04","사립","N","","9","230","25.6","10","254","25.4","10","277","27.7","0","0","0","0","0","0","29","761","26.2","55","13.8"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000412","대원여자고등학교","04","사립","N","","9","209","23.2","9","232","25.8","9","230","25.6","0","0","0","0","0","0","27","671","24.9","55","12.2"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000413","대일고등학교","04","사립","N","","13","320","24.6","13","341","26.2","14","356","25.4","0","0","0","0","0","0","40","1017","25.4","78","13"
"서울특별시교육청","서울특별시교육청","서울특별시 노원구","S010000414","대진고등학교","04","사립","N","","12","269","22.4","13","319","24.5","13","350","26.9","0","0","0","0","0","0","38","938","24.7","75","12.5"
"서울특별시교육청","서울특별시교육청","서울특별시 노원구","S010000415","대진여자고등학교","04","사립","N","","13","295","22.7","13","334","25.7","13","334","25.7","0","0","0","0","0","0","39","963","24.7","76","12.7"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000416","대진디자인고등학교","04","사립","N","","9","196","21.8","9","201","22.3","9","211","23.4","0","0","0","0","0","0","27","608","22.5","62","9.8"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010000417","덕성여자고등학교","04","사립","N","","9","204","22.7","9","211","23.4","9","223","24.8","0","0","0","0","0","0","27","638","23.6","57","11.2"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000418","덕원여자고등학교","04","사립","N","","14","292","20.9","14","364","26","14","389","27.8","0","0","0","0","0","0","42","1045","24.9","82","12.7"
"서울특별시교육청","서울특별시교육청","서울특별시 금천구","S010000419","독산고등학교","04","공립","N","","8","162","20.3","8","185","23.1","8","184","23","3","23","7.7","0","0","0","27","554","20.5","50","11.1"
"서울특별시교육청","서울특별시교육청","서울특별시 동대문구","S010000420","동국대학교사범대학부속고등학교","04","사립","N","","11","306","27.8","11","302","27.5","11","304","27.6","0","0","0","0","0","0","33","912","27.6","66","13.8"
"서울특별시교육청","서울특별시교육청","서울특별시 서초구","S010000421","동덕여자고등학교","04","사립","N","","13","290","22.3","13","338","26","13","328","25.2","0","0","0","0","0","0","39","956","24.5","71","13.5"
"서울특별시교육청","서울특별시교육청","서울특별시 은평구","S010000422","동명여자고등학교","04","사립","N","","12","278","23.2","12","322","26.8","12","339","28.3","3","21","7","0","0","0","39","960","24.6","71","13.5"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000423","동북고등학교","04","사립","N","","13","323","24.8","14","369","26.4","14","332","23.7","0","0","0","0","0","0","41","1024","25","83","12.3"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010000424","동성고등학교","04","사립","N","","9","187","20.8","9","251","27.9","9","241","26.8","0","0","0","0","0","0","27","679","25.1","58","11.7"
"서울특별시교육청","서울특별시교육청","서울특별시 금천구","S010000425","동일여자고등학교","04","사립","N","","10","193","19.3","10","209","20.9","10","183","18.3","0","0","0","0","0","0","30","585","19.5","58","10.1"
"서울특별시교육청","서울특별시교육청","서울특별시 금천구","S010000426","서울매그넷고등학교","04","사립","N","","10","203","20.3","12","249","20.8","12","261","21.8","0","0","0","0","0","0","34","713","21","69","10.3"
"서울특별시교육청","서울특별시교육청","서울특별시 동작구","S010000427","동작고등학교","04","공립","N","","9","212","23.6","9","232","25.8","9","250","27.8","3","13","4.3","0","0","0","30","707","23.6","58","12.2"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000428","둔촌고등학교","04","공립","N","","9","191","21.2","9","224","24.9","10","245","24.5","3","13","4.3","0","0","0","31","673","21.7","63","10.7"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000429","마포고등학교","04","사립","N","","10","248","24.8","10","275","27.5","10","300","30","0","0","0","0","0","0","30","823","27.4","57","14.4"
"서울특별시교육청","서울특별시교육청","서울특별시 중랑구","S010000430","면목고등학교","04","공립","N","","8","174","21.8","8","189","23.6","9","180","20","3","17","5.7","0","0","0","28","560","20","51","11"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000431","명덕고등학교","04","사립","N","","10","239","23.9","10","263","26.3","11","281","25.5","0","0","0","0","0","0","31","783","25.3","60","13.1"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000432","명덕여자고등학교","04","사립","N","","13","325","25","14","352","25.1","14","400","28.6","0","0","0","0","0","0","41","1077","26.3","79","13.6"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000433","동국대학교사범대학부속여자고등학교","04","사립","N","","9","180","20","9","208","23.1","10","207","20.7","0","0","0","0","0","0","28","595","21.3","61","9.8"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000434","명일여자고등학교","04","공립","N","","9","177","19.7","9","170","18.9","9","173","19.2","3","7","2.3","0","0","0","30","527","17.6","58","9.1"
"서울특별시교육청","서울특별시교육청","서울특별시 서대문구","S010000435","명지고등학교","04","사립","N","","15","405","27","15","410","27.3","15","450","30","3","18","6","0","0","0","48","1283","26.7","88","14.6"
"서울특별시교육청","서울특별시교육청","서울특별시 성동구","S010000436","무학여자고등학교","04","공립","N","","9","166","18.4","9","201","22.3","10","189","18.9","3","5","1.7","0","0","0","31","561","18.1","64","8.8"
"서울특별시교육청","서울특별시교육청","서울특별시 관악구","S010000437","서울문영여자고등학교","04","사립","N","","9","194","21.6","9","200","22.2","9","207","23","0","0","0","0","0","0","27","601","22.3","52","11.6"
"서울특별시교육청","서울특별시교육청","서울특별시 금천구","S010000438","문일고등학교","04","사립","N","","11","260","23.6","11","272","24.7","12","275","22.9","1","6","6","0","0","0","35","813","23.2","68","12"
"서울특별시교육청","서울특별시교육청","서울특별시 관악구","S010000439","미림여자고등학교","04","사립","N","","7","154","22","7","180","25.7","8","160","20","0","0","0","0","0","0","22","494","22.5","42","11.8"
"서울특별시교육청","서울특별시교육청","서울특별시 서초구","S010000440","반포고등학교","04","공립","N","","10","239","23.9","10","241","24.1","10","280","28","2","6","3","0","0","0","32","766","23.9","65","11.8"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000441","배명고등학교","04","사립","N","","11","272","24.7","11","294","26.7","11","297","27","0","0","0","0","0","0","33","863","26.2","66","13.1"
"서울특별시교육청","서울특별시교육청","서울특별시 용산구","S010000442","배문고등학교","04","사립","N","","7","116","16.6","7","127","18.1","7","128","18.3","0","0","0","0","0","0","21","371","17.7","42","8.8"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000443","배재고등학교","04","사립","N","","12","406","33.8","12","407","33.9","12","406","33.8","0","0","0","0","0","0","36","1219","33.9","73","16.7"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010000444","배화여자고등학교","04","사립","N","","9","177","19.7","9","185","20.6","9","209","23.2","0","0","0","0","0","0","27","571","21.1","52","11"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000445","백암고등학교","04","사립","N","","12","321","26.8","12","327","27.3","12","317","26.4","0","0","0","0","0","0","36","965","26.8","70","13.8"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000446","보성고등학교","04","사립","N","","11","275","25","11","303","27.5","11","320","29.1","0","0","0","0","0","0","33","898","27.2","62","14.5"
"서울특별시교육청","서울특별시교육청","서울특별시 용산구","S010000447","보성여자고등학교","04","사립","N","","7","126","18","7","145","20.7","7","155","22.1","0","0","0","0","0","0","21","426","20.3","45","9.5"
"서울특별시교육청","서울특별시교육청","서울특별시 관악구","S010000448","삼성고등학교","04","공립","N","","6","122","20.3","6","131","21.8","6","134","22.3","3","13","4.3","0","0","0","21","400","19","42","9.5"
"서울특별시교육청","서울특별시교육청","서울특별시 노원구","S010000449","상계고등학교","04","공립","N","","10","223","22.3","11","278","25.3","11","278","25.3","2","8","4","0","0","0","34","787","23.1","64","12.3"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010000450","상명대학교사범대학부속여자고등학교","04","사립","N","","7","142","20.3","7","159","22.7","7","154","22","0","0","0","0","0","0","21","455","21.7","44","10.3"
"서울특별시교육청","서울특별시교육청","서울특별시 노원구","S010000451","상명고등학교","04","사립","N","","11","265","24.1","11","296","26.9","11","295","26.8","0","0","0","0","0","0","33","856","25.9","63","13.6"
"서울특별시교육청","서울특별시교육청","서울특별시 서초구","S010000452","상문고등학교","04","사립","N","","14","377","26.9","14","386","27.6","14","388","27.7","0","0","0","0","0","0","42","1151","27.4","84","13.7"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000453","상일여자고등학교","04","사립","N","","11","222","20.2","11","211","19.2","12","184","15.3","0","0","0","0","0","0","34","617","18.1","65","9.5"
"서울특별시교육청","서울특별시교육청","서울특별시 노원구","S010000454","서라벌고등학교","04","사립","N","","14","334","23.9","14","369","26.4","14","380","27.1","0","0","0","0","0","0","42","1083","25.8","81","13.4"
"서울특별시교육청","서울특별시교육청","서울특별시 서초구","S010000455","서문여자고등학교","04","사립","N","","12","288","24","12","303","25.3","13","296","22.8","0","0","0","0","0","0","37","887","24","71","12.5"
"서울특별시교육청","서울특별시교육청","서울특별시 서초구","S010000456","서울고등학교","04","공립","N","","14","401","28.6","14","409","29.2","14","427","30.5","3","15","5","0","0","0","45","1252","27.8","85","14.7"
"서울특별시교육청","서울특별시교육청","서울특별시 관악구","S010000458","서울미술고등학교","04","사립","N","","5","180","36","5","178","35.6","5","189","37.8","0","0","0","0","0","0","15","547","36.5","36","15.2"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000459","서울세종고등학교","04","사립","N","","8","173","21.6","8","185","23.1","9","200","22.2","0","0","0","0","0","0","25","558","22.3","49","11.4"
"서울특별시교육청","서울특별시교육청","서울특별시 마포구","S010000460","서울여자고등학교","04","공립","N","","10","236","23.6","10","277","27.7","10","284","28.4","3","10","3.3","0","0","0","33","807","24.5","65","12.4"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000461","서울체육고등학교","04","공립","N","","4","134","33.5","4","124","31","4","135","33.8","0","0","0","0","0","0","12","393","32.8","38","10.3"
"서울특별시교육청","서울특별시교육청","서울특별시 서초구","S010000463","서초고등학교","04","공립","N","","10","250","25","11","299","27.2","11","289","26.3","2","8","4","0","0","0","34","846","24.9","72","11.8"
"서울특별시교육청","서울특별시교육청","서울특별시 성북구","S010000464","석관고등학교","04","공립","N","","9","212","23.6","9","213","23.7","9","242","26.9","0","0","0","0","0","0","27","667","24.7","54","12.4"
"서울특별시교육청","서울특별시교육청","서울특별시 도봉구","S010000465","선덕고등학교","04","사립","N","","11","381","34.6","11","362","32.9","11","355","32.3","0","0","0","0","0","0","33","1098","33.3","67","16.4"
"서울특별시교육청","서울특별시교육청","서울특별시 은평구","S010000466","선일여자고등학교","04","사립","N","","11","217","19.7","11","252","22.9","10","251","25.1","0","0","0","0","0","0","32","720","22.5","63","11.4"
"서울특별시교육청","서울특별시교육청","서울특별시 은평구","S010000467","선정고등학교","04","사립","N","","14","367","26.2","14","374","26.7","13","375","28.8","0","0","0","0","0","0","41","1116","27.2","81","13.8"
"서울특별시교육청","서울특별시교육청","서울특별시 동작구","S010000468","성남고등학교","04","사립","N","","12","317","26.4","12","348","29","12","356","29.7","0","0","0","0","0","0","36","1021","28.4","69","14.8"
"서울특별시교육청","서울특별시교육청","서울특별시 중구","S010000469","성동고등학교","04","공립","N","","7","128","18.3","7","150","21.4","8","160","20","2","6","3","0","0","0","24","444","18.5","46","9.7"
"서울특별시교육청","서울특별시교육청","서울특별시 관악구","S010000470","성보고등학교","04","사립","N","","8","193","24.1","8","208","26","9","243","27","0","0","0","0","0","0","25","644","25.8","48","13.4"
"서울특별시교육청","서울특별시교육청","서울특별시 성북구","S010000471","성신여자고등학교","04","사립","N","","9","189","21","9","209","23.2","10","235","23.5","0","0","0","0","0","0","28","633","22.6","59","10.7"
"서울특별시교육청","서울특별시교육청","서울특별시 용산구","S010000472","성심여자고등학교","04","사립","N","","7","131","18.7","7","166","23.7","8","188","23.5","3","18","6","0","0","0","25","503","20.1","60","8.4"
"서울특별시교육청","서울특별시교육청","서울특별시 서초구","S010000473","세화고등학교","04","사립","N","","12","347","28.9","11","352","32","11","344","31.3","0","0","0","0","0","0","34","1043","30.7","67","15.6"
"서울특별시교육청","서울특별시교육청","서울특별시 서초구","S010000474","세화여자고등학교","04","사립","N","","12","350","29.2","12","343","28.6","12","331","27.6","0","0","0","0","0","0","36","1024","28.4","70","14.6"
"서울특별시교육청","서울특별시교육청","서울특별시 중랑구","S010000475","송곡고등학교","04","사립","N","","9","210","23.3","9","202","22.4","10","217","21.7","0","0","0","0","0","0","28","629","22.5","61","10.3"
"서울특별시교육청","서울특별시교육청","서울특별시 중랑구","S010000476","송곡여자고등학교","04","사립","N","","9","199","22.1","9","231","25.7","10","229","22.9","3","17","5.7","0","0","0","31","676","21.8","57","11.9"
"서울특별시교육청","서울특별시교육청","서울특별시 동작구","S010000477","수도여자고등학교","04","공립","N","","10","268","26.8","10","284","28.4","10","288","28.8","3","18","6","0","0","0","33","858","26","65","13.2"
"서울특별시교육청","서울특별시교육청","서울특별시 노원구","S010000478","수락고등학교","04","공립","N","","8","165","20.6","8","175","21.9","9","177","19.7","3","13","4.3","0","0","0","28","530","18.9","53","10"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000479","숙명여자고등학교","04","사립","N","","14","364","26","14","384","27.4","14","387","27.6","0","0","0","0","0","0","42","1135","27","81","14"
"서울특별시교육청","서울특별시교육청","서울특별시 마포구","S010000480","숭문고등학교","04","사립","N","","7","144","20.6","7","162","23.1","7","192","27.4","0","0","0","0","0","0","21","498","23.7","44","11.3"
"서울특별시교육청","서울특별시교육청","서울특별시 은평구","S010000481","숭실고등학교","04","사립","N","","13","323","24.8","13","341","26.2","12","336","28","3","18","6","0","0","0","41","1018","24.8","76","13.4"
"서울특별시교육청","서울특별시교육청","서울특별시 동작구","S010000482","숭의여자고등학교","04","사립","N","","9","242","26.9","9","263","29.2","9","260","28.9","0","0","0","0","0","0","27","765","28.3","52","14.7"
"서울특별시교육청","서울특별시교육청","서울특별시 용산구","S010000483","신광여자고등학교","04","사립","N","","5","68","13.6","5","93","18.6","5","83","16.6","0","0","0","0","0","0","15","244","16.3","29","8.4"
"서울특별시교육청","서울특별시교육청","서울특별시 관악구","S010000484","신림고등학교","04","공립","N","","6","156","26","6","143","23.8","7","169","24.1","3","21","7","0","0","0","22","489","22.2","47","10.4"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000485","신목고등학교","04","공립","N","","13","344","26.5","13","355","27.3","13","370","28.5","3","17","5.7","0","0","0","42","1086","25.9","85","12.8"
"서울특별시교육청","서울특별시교육청","서울특별시 강북구","S010000486","신일고등학교","04","사립","N","","11","350","31.8","11","342","31.1","11","343","31.2","0","0","0","0","0","0","33","1035","31.4","67","15.4"
"서울특별시교육청","서울특별시교육청","서울특별시 서초구","S010000487","양재고등학교","04","공립","N","","11","268","24.4","11","302","27.5","11","270","24.5","0","0","0","0","0","0","33","840","25.5","64","13.1"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000488","양정고등학교","04","사립","N","","11","346","31.5","11","337","30.6","11","345","31.4","0","0","0","0","0","0","33","1028","31.2","69","14.9"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000489","양천고등학교","04","사립","N","","11","295","26.8","11","297","27","11","307","27.9","0","0","0","0","0","0","33","899","27.2","63","14.3"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000490","목동고등학교","04","사립","N","","14","360","25.7","14","368","26.3","15","380","25.3","0","0","0","0","0","0","43","1108","25.8","82","13.5"
"서울특별시교육청","서울특별시교육청","서울특별시 서초구","S010000491","언남고등학교","04","공립","N","","9","197","21.9","9","199","22.1","10","172","17.2","3","16","5.3","0","0","0","31","584","18.8","57","10.2"
"서울특별시교육청","서울특별시교육청","서울특별시 영등포구","S010000492","여의도고등학교","04","공립","N","","10","237","23.7","10","252","25.2","10","252","25.2","3","9","3","0","0","0","33","750","22.7","66","11.4"
"서울특별시교육청","서울특별시교육청","서울특별시 영등포구","S010000493","여의도여자고등학교","04","공립","N","","8","180","22.5","9","204","22.7","8","210","26.3","1","3","3","0","0","0","26","597","23","54","11.1"
"서울특별시교육청","서울특별시교육청","서울특별시 노원구","S010000494","염광고등학교","04","사립","N","","9","187","20.8","9","236","26.2","10","259","25.9","0","0","0","0","0","0","28","682","24.4","55","12.4"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000495","영동고등학교","04","사립","N","","12","268","22.3","12","315","26.3","13","283","21.8","0","0","0","0","0","0","37","866","23.4","70","12.4"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000496","영동일고등학교","04","사립","N","","12","297","24.8","12","322","26.8","12","341","28.4","0","0","0","0","0","0","36","960","26.7","71","13.5"
"서울특별시교육청","서울특별시교육청","서울특별시 동작구","S010000497","영등포고등학교","04","공립","N","","8","170","21.3","8","185","23.1","8","183","22.9","3","9","3","0","0","0","27","547","20.3","57","9.6"
"서울특별시교육청","서울특별시교육청","서울특별시 영등포구","S010000498","영등포여자고등학교","04","공립","N","","7","134","19.1","7","136","19.4","8","136","17","3","10","3.3","0","0","0","25","416","16.6","50","8.3"
"서울특별시교육청","서울특별시교육청","서울특별시 관악구","S010000499","영락고등학교","04","사립","N","","7","155","22.1","7","157","22.4","7","150","21.4","0","0","0","0","0","0","21","462","22","39","11.8"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000500","서울영상고등학교","04","사립","N","","6","135","22.5","6","145","24.2","6","143","23.8","0","0","0","0","0","0","18","423","23.5","34","12.4"
"서울특별시교육청","서울특별시교육청","서울특별시 영등포구","S010000501","영신고등학교","04","공립","N","","8","189","23.6","8","198","24.8","9","207","23","3","21","7","0","0","0","28","615","22","56","11"
"서울특별시교육청","서울특별시교육청","서울특별시 노원구","S010000502","영신여자고등학교","04","사립","N","","11","247","22.5","11","279","25.4","12","287","23.9","3","13","4.3","0","0","0","37","826","22.3","69","12"
