"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"서울특별시교육청","교육부","서울특별시 강남구","S000003540","국립국악고등학교","04","국립","N","","5","149","29.8","5","143","28.6","5","146","29.2","0","0","0","0","0","0","15","438","29.2","41","10.7"
"서울특별시교육청","교육부","서울특별시 성북구","S000003561","서울대학교사범대학부설고등학교","04","국립","N","","8","215","26.9","8","225","28.1","8","245","30.6","3","24","8","0","0","0","27","709","26.3","61","11.6"
"서울특별시교육청","교육부","서울특별시 금천구","S000005401","국립전통예술고등학교","04","국립","N","","6","181","30.2","6","177","29.5","6","168","28","0","0","0","0","0","0","18","526","29.2","41","12.8"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000370","가락고등학교","04","공립","N","","10","250","25","11","282","25.6","11","290","26.4","0","0","0","0","0","0","32","822","25.7","63","13"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000371","강동고등학교","04","사립","N","","8","190","23.8","8","206","25.8","8","208","26","0","0","0","0","0","0","24","604","25.2","45","13.4"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000372","강서고등학교","04","사립","N","","12","327","27.3","12","332","27.7","12","345","28.8","0","0","0","0","0","0","36","1004","27.9","67","15"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000373","개포고등학교","04","공립","N","","9","216","24","9","227","25.2","10","197","19.7","1","2","2","0","0","0","29","642","22.1","55","11.7"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000374","건국대학교사범대학부속고등학교","04","사립","N","","12","312","26","12","334","27.8","12","355","29.6","0","0","0","0","0","0","36","1001","27.8","74","13.5"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000375","경기고등학교","04","공립","N","","14","337","24.1","14","373","26.6","14","373","26.6","3","18","6","0","0","0","45","1101","24.5","86","12.8"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000376","경기여자고등학교","04","공립","N","","13","343","26.4","13","355","27.3","13","380","29.2","3","17","5.7","0","0","0","42","1095","26.1","86","12.7"
