"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년(남)","1학년(여)","2학년(남)","2학년(여)","3학년(남)","3학년(여)","특수학급(남)","특수학급(여)","순회학급(남)","순회학급(여)","계(남)","계(여)","총계"
"서울특별시교육청","서울특별시교육청","서울특별시 관악구","S010000437","서울문영여자고등학교","04","사립","N","","0","194","0","200","0","207","0","0","0","0","0","601","601"
"서울특별시교육청","서울특별시교육청","서울특별시 금천구","S010000438","문일고등학교","04","사립","N","","260","0","272","0","275","0","6","0","0","0","813","0","813"
"서울특별시교육청","서울특별시교육청","서울특별시 관악구","S010000439","미림여자고등학교","04","사립","N","","0","154","0","180","0","160","0","0","0","0","0","494","494"
"서울특별시교육청","서울특별시교육청","서울특별시 서초구","S010000440","반포고등학교","04","공립","N","","117","122","110","131","132","148","3","3","0","0","362","404","766"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000441","배명고등학교","04","사립","N","","272","0","294","0","297","0","0","0","0","0","863","0","863"
"서울특별시교육청","서울특별시교육청","서울특별시 용산구","S010000442","배문고등학교","04","사립","N","","116","0","127","0","128","0","0","0","0","0","371","0","371"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000443","배재고등학교","04","사립","N","","406","0","407","0","406","0","0","0","0","0","1219","0","1219"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010000444","배화여자고등학교","04","사립","N","","0","177","0","185","0","209","0","0","0","0","0","571","571"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000445","백암고등학교","04","사립","N","","185","136","162","165","154","163","0","0","0","0","501","464","965"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000446","보성고등학교","04","사립","N","","275","0","303","0","320","0","0","0","0","0","898","0","898"
"서울특별시교육청","서울특별시교육청","서울특별시 용산구","S010000447","보성여자고등학교","04","사립","N","","0","126","0","145","0","155","0","0","0","0","0","426","426"
"서울특별시교육청","서울특별시교육청","서울특별시 관악구","S010000448","삼성고등학교","04","공립","N","","61","61","66","65","65","69","8","5","0","0","200","200","400"
"서울특별시교육청","서울특별시교육청","서울특별시 노원구","S010000449","상계고등학교","04","공립","N","","223","0","278","0","278","0","8","0","0","0","787","0","787"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010000450","상명대학교사범대학부속여자고등학교","04","사립","N","","0","142","0","159","0","154","0","0","0","0","0","455","455"
"서울특별시교육청","서울특별시교육청","서울특별시 노원구","S010000451","상명고등학교","04","사립","N","","136","129","161","135","151","144","0","0","0","0","448","408","856"
"서울특별시교육청","서울특별시교육청","서울특별시 서초구","S010000452","상문고등학교","04","사립","N","","377","0","386","0","388","0","0","0","0","0","1151","0","1151"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000453","상일여자고등학교","04","사립","N","","0","222","0","211","0","184","0","0","0","0","0","617","617"
"서울특별시교육청","서울특별시교육청","서울특별시 노원구","S010000454","서라벌고등학교","04","사립","N","","334","0","369","0","380","0","0","0","0","0","1083","0","1083"
"서울특별시교육청","서울특별시교육청","서울특별시 서초구","S010000455","서문여자고등학교","04","사립","N","","0","288","0","303","0","296","0","0","0","0","0","887","887"
"서울특별시교육청","서울특별시교육청","서울특별시 서초구","S010000456","서울고등학교","04","공립","N","","401","0","409","0","427","0","15","0","0","0","1252","0","1252"
"서울특별시교육청","서울특별시교육청","서울특별시 관악구","S010000458","서울미술고등학교","04","사립","N","","34","146","28","150","25","164","0","0","0","0","87","460","547"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000459","서울세종고등학교","04","사립","N","","76","97","67","118","84","116","0","0","0","0","227","331","558"
"서울특별시교육청","서울특별시교육청","서울특별시 마포구","S010000460","서울여자고등학교","04","공립","N","","0","236","0","277","0","284","0","10","0","0","0","807","807"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000461","서울체육고등학교","04","공립","N","","86","48","75","49","86","49","0","0","0","0","247","146","393"
"서울특별시교육청","서울특별시교육청","서울특별시 서초구","S010000463","서초고등학교","04","공립","N","","125","125","137","162","141","148","5","3","0","0","408","438","846"
"서울특별시교육청","서울특별시교육청","서울특별시 성북구","S010000464","석관고등학교","04","공립","N","","89","123","91","122","115","127","0","0","0","0","295","372","667"
"서울특별시교육청","서울특별시교육청","서울특별시 도봉구","S010000465","선덕고등학교","04","사립","N","","381","0","362","0","355","0","0","0","0","0","1098","0","1098"
"서울특별시교육청","서울특별시교육청","서울특별시 은평구","S010000466","선일여자고등학교","04","사립","N","","0","217","0","252","0","251","0","0","0","0","0","720","720"
"서울특별시교육청","서울특별시교육청","서울특별시 은평구","S010000467","선정고등학교","04","사립","N","","176","191","171","203","183","192","0","0","0","0","530","586","1116"
