"자치구별(1)",자치구별(2),2000,2000,2000,2001,2001,2001,2002,2002,2002,2003,2003,2003,2004,2004,2004,2005,2005,2005,2006,2006,2006,2007,2007,2007,2008,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021
"자치구별(1)",자치구별(2),총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계
"자치구별(1)",자치구별(2),계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자
"합계",노원구,9010,4717,4293,8144,4250,3894,7033,3574,3459,7016,3550,3466,6665,3412,3253,5733,2949,2784,5867,3037,2830,6232,3153,3079,5721,2951,2770,5178,2678,2500,5298,2729,2569,5063,2560,2503,5296,2659,2637,4668,2404,2264,4715,2438,2277,4462,2286,2176,4176,2192,1984,3494,1772,1722,2851,1490,1361,2604,1349,1255,2252,1188,1064,2225,1162,1063
"합계",은평구,5991,3177,2814,4997,2561,2436,4636,2406,2230,4903,2539,2364,4758,2476,2282,4227,2197,2030,4236,2134,2102,4406,2263,2143,3856,2019,1837,3804,1881,1923,4095,2123,1972,4318,2167,2151,4654,2360,2294,4157,2178,1979,4085,2132,1953,3870,1926,1944,3522,1825,1697,2930,1466,1464,2703,1364,1339,2407,1253,1154,2144,1092,1052,2076,1083,993
"합계",서대문구,4762,2434,2328,4224,2177,2047,3787,1953,1834,3637,1889,1748,3470,1748,1722,3040,1543,1497,3032,1524,1508,3277,1708,1569,2937,1518,1419,2602,1361,1241,2713,1420,1293,2368,1171,1197,2470,1299,1171,2358,1213,1145,2334,1183,1151,2175,1106,1069,2201,1124,1077,1911,973,938,1647,879,768,1521,770,751,1533,775,758,1426,725,701
"합계",마포구,5419,2747,2672,4644,2408,2236,4139,2172,1967,3871,1952,1919,4294,2184,2110,3829,2008,1821,4134,2112,2022,4574,2364,2210,4144,2175,1969,3735,1907,1828,3824,1977,1847,3859,1917,1942,3797,1987,1810,3320,1664,1656,3373,1736,1637,3626,1841,1785,3392,1730,1662,2812,1461,1351,2528,1281,1247,2334,1200,1134,2015,1057,958,1959,1009,950
"합계",양천구,5356,2801,2555,4852,2524,2328,4387,2294,2093,4269,2232,2037,4156,2206,1950,3924,1991,1933,4120,2135,1985,4486,2338,2148,4110,2127,1983,3673,1884,1789,3678,1929,1749,3727,1997,1730,3869,1976,1893,3547,1866,1681,3527,1825,1702,3526,1803,1723,3334,1679,1655,2876,1474,1402,2387,1185,1202,2222,1203,1019,1875,977,898,1827,937,890
"합계",강서구,7140,3751,3389,5999,3056,2943,5446,2894,2552,5680,2946,2734,5688,2945,2743,5368,2757,2611,5599,2924,2675,6095,3119,2976,5979,3006,2973,5740,2976,2764,5720,3051,2669,5753,2937,2816,5875,2922,2953,5224,2606,2618,5424,2690,2734,5812,2978,2834,5456,2859,2597,4800,2462,2338,4260,2184,2076,3841,1995,1846,3345,1692,1653,3006,1518,1488
"합계",구로구,5872,3119,2753,5242,2713,2529,4714,2500,2214,4596,2378,2218,4652,2453,2199,4398,2336,2062,4699,2355,2344,5014,2551,2463,4883,2503,2380,4560,2339,2221,4770,2439,2331,4633,2369,2264,4936,2504,2432,4468,2249,2219,4279,2197,2082,4257,2116,2141,3736,1924,1812,3139,1595,1544,2658,1371,1287,2460,1270,1190,2269,1203,1066,2229,1145,1084
"합계",금천구,3506,1846,1660,2922,1498,1424,2493,1294,1199,2542,1318,1224,2570,1329,1241,2230,1157,1073,2361,1216,1145,2317,1163,1154,2102,1076,1026,1978,1000,978,2002,1046,956,1927,952,975,2077,1049,1028,1739,859,880,1820,925,895,1885,960,925,1595,820,775,1498,788,710,1314,655,659,1154,622,532,1092,553,539,1012,519,493
"합계",영등포구,6004,3154,2850,5128,2650,2478,4592,2397,2195,4597,2363,2234,4541,2362,2179,4331,2248,2083,4526,2424,2102,4896,2522,2374,4453,2266,2187,4119,2108,2011,4288,2206,2082,4050,2000,2050,4050,2095,1955,3448,1777,1671,3480,1809,1671,3611,1865,1746,3282,1690,1592,2805,1465,1340,2698,1352,1346,2633,1338,1295,2296,1200,1096,2402,1231,1171
"합계",동작구,5738,2987,2751,5111,2682,2429,4291,2213,2078,4319,2249,2070,4576,2326,2250,4148,2130,2018,4201,2174,2027,4360,2276,2084,4044,2134,1910,3829,1888,1941,3846,2012,1834,3837,1964,1873,3883,2047,1836,3712,1925,1787,3765,1950,1815,3643,1854,1789,3184,1677,1507,2814,1387,1427,2417,1244,1173,2227,1174,1053,2044,1076,968,1831,935,896
"합계",관악구,7367,3900,3467,6352,3279,3073,5646,2941,2705,5708,2894,2814,5666,2913,2753,5248,2670,2578,5258,2727,2531,5703,2968,2735,5306,2737,2569,4836,2468,2368,4738,2391,2347,4729,2418,2311,4596,2403,2193,4140,2099,2041,4071,2080,1991,3960,2035,1925,3561,1803,1758,2931,1487,1444,2582,1384,1198,2245,1155,1090,1905,955,950,1707,862,845
"합계",서초구,4662,2411,2251,3900,2033,1867,3605,1878,1727,3561,1876,1685,3702,1893,1809,3403,1783,1620,3655,1896,1759,3911,2055,1856,3846,1949,1897,3746,1971,1775,4403,2253,2150,4190,2167,2023,4439,2308,2131,4081,2113,1968,4135,2152,1983,4078,2053,2025,3629,1827,1802,3039,1559,1480,2919,1557,1362,2512,1337,1175,2238,1165,1073,2163,1096,1067
"합계",강남구,6254,3299,2955,5095,2663,2432,4386,2294,2092,4404,2288,2116,4188,2151,2037,3898,1990,1908,4374,2195,2179,4893,2524,2369,4586,2356,2230,4388,2255,2133,4836,2478,2358,4761,2448,2313,4903,2522,2381,4551,2326,2225,4654,2401,2253,4595,2369,2226,4122,2047,2075,3456,1783,1673,2940,1568,1372,2749,1432,1317,2356,1232,1124,2204,1112,1092
"합계",송파구,8892,4570,4322,7415,3843,3572,6635,3454,3181,6367,3297,3070,5761,2978,2783,5277,2754,2523,5392,2833,2559,5955,3081,2874,5995,3107,2888,6363,3231,3132,6750,3473,3277,6574,3444,3130,6859,3532,3327,5963,3082,2881,6001,3030,2971,5899,3045,2854,5500,2915,2585,4976,2606,2370,4567,2422,2145,4424,2277,2147,3791,1906,1885,3469,1802,1667
"합계",강동구,6007,3140,2867,5070,2649,2421,4591,2413,2178,4399,2275,2124,4268,2172,2096,3816,1928,1888,3881,2007,1874,4210,2216,1994,4019,2124,1895,4250,2219,2031,4646,2368,2278,4655,2428,2227,4590,2343,2247,4070,2125,1945,4089,2087,2002,3865,2022,1843,3293,1689,1604,2968,1501,1467,2659,1366,1293,2437,1210,1227,2535,1241,1294,2810,1474,1336
