"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","예결산구분","세입세출구분","정부이전수입","기타이전수입","학부모부담수입","지원금수입","행정활동수입","기타"
"경기도교육청","경기도화성오산교육지원청","경기도 오산시","S090005462","오산원일중학교","03","공립","N","","복식부기","예산세입","1474738000","0","167679000","0","12000000","8590000"
"경기도교육청","경기도용인교육지원청","경기도 용인시 처인구","S090005468","고림중학교","03","공립","N","","복식부기","예산세입","1258324000","0","157611000","0","3090000","10000000"
"경기도교육청","경기도수원교육지원청","경기도 수원시 권선구","S090005469","상촌중학교","03","공립","N","","복식부기","예산세입","1570038000","0","182934000","0","4960000","10085000"
"경기도교육청","경기도화성오산교육지원청","경기도 화성시","S090005470","기산중학교","03","공립","N","","복식부기","예산세입","752591000","0","92348000","0","1650000","13020000"
"경기도교육청","경기도화성오산교육지원청","경기도 화성시","S090005473","석우중학교","03","공립","N","","복식부기","예산세입","1553219000","10000000","150338000","0","11930000","32600000"
"경기도교육청","경기도구리남양주교육지원청","경기도 남양주시","S090005475","어람중학교","03","공립","N","","복식부기","예산세입","1436168000","0","154514000","0","7300000","20000000"
"경기도교육청","경기도수원교육지원청","경기도 수원시 영통구","S090005477","잠원중학교","03","공립","N","","복식부기","예산세입","1501962000","0","78251000","0","3000000","10000000"
"경기도교육청","경기도용인교육지원청","경기도 용인시 기흥구","S090005479","보라중학교","03","공립","N","","복식부기","예산세입","1648150000","0","144232000","0","11366000","5000000"
"경기도교육청","경기도의정부교육지원청","경기도 의정부시","S090005489","녹양중학교","03","공립","N","","복식부기","예산세입","883889000","0","47598000","0","2910000","11686000"
"경기도교육청","경기도의정부교육지원청","경기도 의정부시","S090005490","솔뫼중학교","03","공립","N","","복식부기","예산세입","365915000","0","35514000","0","3300000","20000000"
"경기도교육청","경기도화성오산교육지원청","경기도 화성시","S090005587","화성동화중학교","03","공립","N","","복식부기","예산세입","1141481000","0","118632000","0","2200000","21881000"
"경기도교육청","경기도화성오산교육지원청","경기도 화성시","S090005590","반송중학교","03","공립","N","","복식부기","예산세입","1444756000","0","167502000","0","4101000","10875000"
"경기도교육청","경기도화성오산교육지원청","경기도 화성시","S090005592","솔빛중학교","03","공립","N","","복식부기","예산세입","1460764000","0","213700000","0","8000000","15000000"
"경기도교육청","경기도부천교육지원청","경기도 부천시","S090005604","수주중학교","03","공립","N","","복식부기","예산세입","930962000","0","52397000","0","5110000","28027000"
"경기도교육청","경기도부천교육지원청","경기도 부천시","S090005605","원미중학교","03","공립","N","","복식부기","예산세입","625653000","0","66451000","0","2040000","20000000"
"경기도교육청","경기도부천교육지원청","경기도 부천시","S090005606","까치울중학교","03","공립","N","","복식부기","예산세입","1016163000","0","56757000","0","7300000","5557000"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090005608","안곡중학교","03","공립","N","","복식부기","예산세입","1708344000","0","155897000","0","4703000","20000000"
"경기도교육청","경기도용인교육지원청","경기도 용인시 기흥구","S090005609","청덕중학교","03","공립","N","","복식부기","예산세입","980401000","0","244218000","0","1110000","4000000"
