"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","도서자료","비도서자료수","합계","전체학생수","1인당장서수"
"서울특별시교육청","교육부","서울특별시 서초구","S000003511","서울교육대학교부설초등학교","02","국립","N","","22252","266","22518","612","36.8"
"서울특별시교육청","교육부","서울특별시 종로구","S000003563","서울대학교사범대학부설초등학교","02","국립","N","","34935","853","35788","613","58.4"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000738","서울개일초등학교","02","공립","N","","23530","3","23533","1078","21.8"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000741","서울구룡초등학교","02","공립","N","","22599","215","22814","745","30.6"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000742","서울논현초등학교","02","공립","N","","19604","266","19870","266","74.7"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000743","서울대곡초등학교","02","공립","N","","27350","0","27350","1209","22.6"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000744","서울대도초등학교","02","공립","N","","26710","190","26900","2025","13.3"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000745","서울대모초등학교","02","공립","N","","20312","40","20352","920","22.1"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000746","서울대왕초등학교","02","공립","N","","25278","265","25543","672","38"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000747","서울대진초등학교","02","공립","N","","23973","1045","25018","275","91"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000748","서울대청초등학교","02","공립","N","","13161","0","13161","116","113.5"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000749","서울대치초등학교","02","공립","N","","25218","1094","26312","1493","17.6"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000750","서울대현초등학교","02","공립","N","","21484","984","22468","813","27.6"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000751","서울도곡초등학교","02","공립","N","","31723","718","32441","937","34.6"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000752","서울도성초등학교","02","공립","N","","23885","50","23935","1839","13"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000753","서울반원초등학교","02","공립","N","","23825","642","24467","1349","18.1"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000754","서울반포초등학교","02","공립","N","","28974","248","29222","215","135.9"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000755","서울방배초등학교","02","공립","N","","21991","79","22070","861","25.6"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000756","서울방일초등학교","02","공립","N","","23059","74","23133","979","23.6"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000757","서울방현초등학교","02","공립","N","","15015","112","15127","239","63.3"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000758","서울봉은초등학교","02","공립","N","","25432","398","25830","489","52.8"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000759","서울삼릉초등학교","02","공립","N","","18887","118","19005","529","35.9"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000760","서울서래초등학교","02","공립","N","","20506","0","20506","1373","14.9"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000761","서울서원초등학교","02","공립","N","","21344","166","21510","1524","14.1"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000762","서울서이초등학교","02","공립","N","","19512","201","19713","1430","13.8"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000763","서울서일초등학교","02","공립","N","","17194","4","17198","548","31.4"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000764","서울서초초등학교","02","공립","N","","29582","29","29611","1057","28"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000765","서울수서초등학교","02","공립","N","","17564","132","17696","153","115.7"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000766","서울신구초등학교","02","공립","N","","22663","850","23513","486","48.4"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000767","서울신동초등학교","02","공립","N","","21091","290","21381","1279","16.7"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000768","서울신중초등학교","02","공립","N","","19636","333","19969","885","22.6"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000769","서울압구정초등학교","02","공립","N","","22288","54","22342","915","24.4"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000770","서울양재초등학교","02","공립","N","","19029","34","19063","582","32.8"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000771","서울양전초등학교","02","공립","N","","20467","101","20568","563","36.5"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000772","서울언남초등학교","02","공립","N","","27314","85","27399","1145","23.9"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000773","서울언북초등학교","02","공립","N","","23637","8","23645","1854","12.8"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000774","서울언주초등학교","02","공립","N","","32087","0","32087","1577","20.3"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000775","서울역삼초등학교","02","공립","N","","23001","448","23449","364","64.4"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000776","서울영희초등학교","02","공립","N","","24916","191","25107","309","81.3"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000777","서울왕북초등학교","02","공립","N","","21496","750","22246","910","24.4"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000778","서울우암초등학교","02","공립","N","","19115","104","19219","285","67.4"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000779","서울원명초등학교","02","공립","N","","23160","494","23654","1231","19.2"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000780","서울원촌초등학교","02","공립","N","","15335","256","15591","1121","13.9"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000781","서울이수초등학교","02","공립","N","","17385","40","17425","569","30.6"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000782","서울일원초등학교","02","공립","N","","23488","1109","24597","1142","21.5"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000783","서울잠원초등학교","02","공립","N","","24618","102","24720","1659","14.9"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000784","서울청담초등학교","02","공립","N","","16191","698","16889","495","34.1"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000785","서울포이초등학교","02","공립","N","","29628","605","30233","479","63.1"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000786","서울학동초등학교","02","공립","N","","18831","0","18831","493","38.2"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000897","서울가동초등학교","02","공립","N","","22632","43","22675","853","26.6"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000898","서울가락초등학교","02","공립","N","","16203","10","16213","1167","13.9"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000899","서울가원초등학교","02","공립","N","","25270","335","25605","639","40.1"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000900","서울가주초등학교","02","공립","N","","17687","25","17712","830","21.3"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000901","서울강덕초등학교","02","공립","N","","16547","97","16644","1147","14.5"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000902","서울강동초등학교","02","공립","N","","18993","20","19013","540","35.2"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000903","서울강일초등학교","02","공립","N","","25908","22","25930","734","35.3"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000904","서울거여초등학교","02","공립","N","","34293","371","34664","653","53.1"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000905","서울거원초등학교","02","공립","N","","29147","7","29154","679","42.9"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000906","서울고덕초등학교","02","공립","N","","20104","0","20104","396","50.8"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000907","서울고명초등학교","02","공립","N","","14832","237","15069","766","19.7"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000908","서울고일초등학교","02","공립","N","","10027","5","10032","1713","5.9"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000909","서울길동초등학교","02","공립","N","","28072","194","28266","791","35.7"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000910","서울남천초등학교","02","공립","N","","20944","1010","21954","364","60.3"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000911","서울대명초등학교","02","공립","N","","26012","0","26012","831","31.3"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000913","서울마천초등학교","02","공립","N","","19559","22","19581","884","22.2"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000914","서울명덕초등학교","02","공립","N","","24439","79","24518","1820","13.5"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000915","서울명원초등학교","02","공립","N","","20997","41","21038","817","25.8"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000916","서울명일초등학교","02","공립","N","","23819","55","23874","1041","22.9"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000917","서울묘곡초등학교","02","공립","N","","22862","55","22917","1538","14.9"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000918","서울문덕초등학교","02","공립","N","","21243","0","21243","589","36.1"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000919","서울문정초등학교","02","공립","N","","22943","307","23250","719","32.3"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000920","서울방산초등학교","02","공립","N","","29456","712","30168","644","46.8"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000921","서울방이초등학교","02","공립","N","","21516","131","21647","566","38.2"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000922","서울삼전초등학교","02","공립","N","","21447","501","21948","782","28.1"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000923","서울상일초등학교","02","공립","N","","14773","22","14795","191","77.5"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000924","서울석촌초등학교","02","공립","N","","20750","168","20918","744","28.1"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000925","서울선린초등학교","02","공립","N","","27393","80","27473","426","64.5"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000926","서울선사초등학교","02","공립","N","","24546","507","25053","638","39.3"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000927","서울성내초등학교","02","공립","N","","19640","740","20380","827","24.6"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000928","서울성일초등학교","02","공립","N","","20230","248","20478","1096","18.7"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000929","서울세륜초등학교","02","공립","N","","23821","0","23821","637","37.4"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000930","서울송전초등학교","02","공립","N","","28952","63","29015","824","35.2"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000931","서울송파초등학교","02","공립","N","","28397","282","28679","569","50.4"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000932","서울신가초등학교","02","공립","N","","21376","85","21461","686","31.3"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000933","서울신명초등학교","02","공립","N","","23476","0","23476","450","52.2"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000934","서울신암초등학교","02","공립","N","","20941","1","20942","718","29.2"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000935","서울신천초등학교","02","공립","N","","18466","301","18767","419","44.8"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000936","서울아주초등학교","02","공립","N","","13653","480","14133","421","33.6"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000937","서울영풍초등학교","02","공립","N","","27803","23","27826","658","42.3"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000938","서울오금초등학교","02","공립","N","","26275","76","26351","654","40.3"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000939","서울오륜초등학교","02","공립","N","","26505","20","26525","527","50.3"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000941","서울잠동초등학교","02","공립","N","","23362","57","23419","866","27"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000942","서울잠신초등학교","02","공립","N","","30992","543","31535","1490","21.2"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000943","서울잠실초등학교","02","공립","N","","25760","156","25916","1095","23.7"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000944","서울잠일초등학교","02","공립","N","","26129","335","26464","1742","15.2"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000945","서울잠전초등학교","02","공립","N","","25676","386","26062","525","49.6"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000946","서울중대초등학교","02","공립","N","","24151","23","24174","1028","23.5"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000947","서울천동초등학교","02","공립","N","","22643","36","22679","809","28"
