"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","예결산구분","세입세출구분","인적자원운용","학생복지/교육격차해소","기본적교육활동","선택적교육활동","교육활동지원","학교일반운영","학교시설확충","학교재무활동"
"전라남도교육청","전라남도해남교육지원청","전라남도 해남군","S140002195","해남서초등학교","02","공립","N","","복식부기","예산세출","27060000","259584000","96463000","143870000","83950000","148785000","1068000","2738000"
"전라남도교육청","전라남도해남교육지원청","전라남도 해남군","S140002197","현산남초등학교","02","공립","N","","복식부기","예산세출","13180000","33266000","34559000","13750000","32572000","81794000","0","1464000"
"전라남도교육청","전라남도해남교육지원청","전라남도 해남군","S140002199","현산초등학교","02","공립","N","","복식부기","예산세출","15524000","69901000","58401000","45587000","46060000","88812000","0","1701000"
"전라남도교육청","전라남도해남교육지원청","전라남도 해남군","S140002203","화산초등학교","02","공립","N","","복식부기","예산세출","15964000","64627000","51130000","39020000","29400000","106556000","0","1546000"
"전라남도교육청","전라남도해남교육지원청","전라남도 해남군","S140002204","화원초등학교","02","공립","N","","복식부기","예산세출","23100000","94997000","45815000","24082000","47400000","83701000","0","2237000"
"전라남도교육청","전라남도해남교육지원청","전라남도 해남군","S140002211","황산초등학교","02","공립","N","","복식부기","예산세출","19730000","120142000","41845000","61312000","48300000","100198000","0","2535000"
"전라남도교육청","전라남도화순교육지원청","전라남도 화순군","S140002270","능주초등학교","02","공립","N","","복식부기","예산세출","18753000","77259000","69962000","27817000","42850000","130510000","0","1810000"
"전라남도교육청","전라남도화순교육지원청","전라남도 화순군","S140002271","도곡중앙초등학교","02","공립","N","","복식부기","예산세출","13980000","51882000","46269000","21420000","43262000","79268000","0","1844000"
"전라남도교육청","전라남도화순교육지원청","전라남도 화순군","S140002272","도곡초등학교","02","공립","N","","복식부기","예산세출","14630000","131541000","64727000","59390000","49450000","108401000","0","1902000"
"전라남도교육청","전라남도화순교육지원청","전라남도 화순군","S140002273","동면초등학교","02","공립","N","","복식부기","예산세출","23316000","110104000","125108000","44573000","63560000","118722000","0","1861000"
