"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","도서자료","비도서자료수","합계","전체학생수","1인당장서수"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140001407","봉덕초등학교","02","공립","N","","9913","0","9913","23","431"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140001408","상암초등학교","02","공립","N","","11765","0","11765","74","159"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140001410","소라초등학교","02","공립","N","","11328","1","11329","72","157.3"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140001417","소호초등학교","02","공립","N","","18364","248","18612","394","47.2"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140001418","시전초등학교","02","공립","N","","17536","285","17821","298","59.8"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140001420","쌍봉초등학교","02","공립","N","","17764","293","18057","316","57.1"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140001421","안일초등학교","02","공립","N","","7340","0","7340","19","386.3"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140001425","여도초등학교","02","사립","N","","30541","1813","32354","631","51.3"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140001428","여수구봉초등학교","02","공립","N","","10434","8","10442","205","50.9"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140001429","여수남산초등학교","02","공립","N","","9905","0","9905","41","241.6"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140001430","여수남초등학교","02","공립","N","","11218","0","11218","193","58.1"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140001431","여수동초등학교","02","공립","N","","23536","0","23536","256","91.9"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140001432","여수문수초등학교","02","공립","N","","12718","49","12767","135","94.6"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140001433","여수미평초등학교","02","공립","N","","16193","0","16193","445","36.4"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140001434","여수봉산초등학교","02","공립","N","","7808","13","7821","37","211.4"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140001435","여수부영초등학교","02","공립","N","","20392","284","20676","693","29.8"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140001436","여수북초등학교","02","공립","N","","9712","0","9712","67","145"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140001437","여수서초등학교","02","공립","N","","11800","0","11800","179","65.9"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140001438","여수신월초등학교","02","공립","N","","17434","65","17499","546","32"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140001439","여수양지초등학교","02","공립","N","","17099","46","17145","450","38.1"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140001440","여수여문초등학교","02","공립","N","","15001","100","15101","457","33"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140001442","여수종고초등학교","02","공립","N","","10127","0","10127","440","23"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140001443","여수좌수영초등학교","02","공립","N","","15905","170","16075","386","41.6"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140001444","여수중앙초등학교","02","공립","N","","15888","0","15888","185","85.9"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140001445","여수진남초등학교","02","공립","N","","12545","8","12553","106","118.4"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140001446","여수한려초등학교","02","공립","N","","19066","38","19104","607","31.5"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140001447","여안초등학교","02","공립","N","","6717","0","6717","2","3358.5"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140001449","여천초등학교","02","공립","N","","14602","30","14632","561","26.1"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140001450","여남초등학교연도분교장","02","공립","N","","7915","0","7915","6","1319.2"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140001462","화양초등학교","02","공립","N","","10109","2","10111","37","273.3"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140001463","화정초등학교","02","공립","N","","9379","258","9637","25","385.5"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140001464","화태초등학교","02","공립","N","","6028","0","6028","3","2009.3"
"전라남도교육청","전라남도영광교육지원청","전라남도 영광군","S140001665","군남초등학교","02","공립","N","","9744","32","9776","41","238.4"
"전라남도교육청","전라남도영광교육지원청","전라남도 영광군","S140001667","군서초등학교","02","공립","N","","10309","238","10547","40","263.7"
"전라남도교육청","전라남도영광교육지원청","전라남도 영광군","S140001668","염산초등학교낙월분교장","02","공립","N","","1433","20","1453","7","207.6"
"전라남도교육청","전라남도영광교육지원청","전라남도 영광군","S140001670","대마초등학교","02","공립","N","","11402","127","11529","54","213.5"
"전라남도교육청","전라남도영광교육지원청","전라남도 영광군","S140001676","백수서초등학교","02","공립","N","","9371","0","9371","18","520.6"
"전라남도교육청","전라남도영광교육지원청","전라남도 영광군","S140001678","백수초등학교","02","공립","N","","13865","0","13865","69","200.9"
"전라남도교육청","전라남도영광교육지원청","전라남도 영광군","S140001681","법성포초등학교","02","공립","N","","25229","0","25229","118","213.8"
"전라남도교육청","전라남도영광교육지원청","전라남도 영광군","S140001685","불갑초등학교","02","공립","N","","10134","52","10186","38","268.1"
"전라남도교육청","전라남도영광교육지원청","전라남도 영광군","S140001689","염산초등학교","02","공립","N","","11899","69","11968","80","149.6"
"전라남도교육청","전라남도영광교육지원청","전라남도 영광군","S140001693","영광중앙초등학교","02","공립","N","","18611","20","18631","461","40.4"
"전라남도교육청","전라남도영광교육지원청","전라남도 영광군","S140001694","영광초등학교","02","공립","N","","26293","0","26293","831","31.6"
