"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","예결산구분","세입세출구분","인적자원운용","학생복지/교육격차해소","기본적교육활동","선택적교육활동","교육활동지원","학교일반운영","학교시설확충","학교재무활동"
"서울특별시교육청","교육부","서울특별시 서초구","S000003511","서울교육대학교부설초등학교","02","국립","N","","복식부기","예산세출","68050000","44907000","253577000","90699000","146392000","212439000","50000000","429000"
"서울특별시교육청","교육부","서울특별시 종로구","S000003563","서울대학교사범대학부설초등학교","02","국립","N","","복식부기","예산세출","0","590000000","620000000","648500000","127090000","0","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000738","서울개일초등학교","02","공립","N","","복식부기","예산세출","39270000","67411000","87550000","71893000","119394000","214615000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000741","서울구룡초등학교","02","공립","N","","복식부기","예산세출","35954000","55260000","71850000","76916000","144120000","267611000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000742","서울논현초등학교","02","공립","N","","복식부기","예산세출","48494000","53850000","125236000","43184000","122362000","420339000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000743","서울대곡초등학교","02","공립","N","","복식부기","예산세출","56780000","64525000","102611000","44820000","117902000","291682000","0","1000000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000744","서울대도초등학교","02","공립","N","","복식부기","예산세출","69096000","106933000","158100000","46672000","138455000","308021000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000745","서울대모초등학교","02","공립","N","","복식부기","예산세출","41110000","106425000","84030000","80700000","136747000","247678000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000746","서울대왕초등학교","02","공립","N","","복식부기","예산세출","49480000","64098000","251075000","38946000","142824000","274470000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000747","서울대진초등학교","02","공립","N","","복식부기","예산세출","31210000","47330000","95130000","36621000","147441000","203953000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000748","서울대청초등학교","02","공립","N","","복식부기","예산세출","24973000","68633000","130485000","34640000","90447000","187743000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000749","서울대치초등학교","02","공립","N","","복식부기","예산세출","72760000","69890000","101050000","28129000","126300000","328967000","3000000","0"
