"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","예결산구분","세입세출구분","인적자원운용","학생복지/교육격차해소","기본적교육활동","선택적교육활동","교육활동지원","학교일반운영","학교시설확충","학교재무활동"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010001061","유석초등학교","02","사립","N","","복식부기","예산세출","1643262000","260476000","209074000","774488000","66671000","338137000","200000000","0"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 금천구","S010001197","동광초등학교","02","사립","N","","복식부기","예산세출","1978206000","682967000","666478000","1149378000","208623000","273776000","67000000","0"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 동대문구","S010001394","경희초등학교","02","사립","N","","복식부기","예산세출","3400923000","26063000","616830000","16062000","101659000","241618000","258470000","10000000"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 중랑구","S010001395","금성초등학교","02","사립","N","","복식부기","예산세출","2837138000","1033936000","459697000","727496000","209933000","914058000","813001000","0"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 동대문구","S010001396","서울삼육초등학교","02","사립","N","","복식부기","예산세출","2208564000","739298000","1214648000","1278307000","181110000","348534000","40000000","20000000"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 동대문구","S010001434","은석초등학교","02","사립","N","","복식부기","예산세출","4026739000","326088000","63146000","0","150470000","796901000","196000000","0"
"서울특별시교육청","서울특별시동작관악교육지원청","서울특별시 동작구","S010001613","중앙대학교사범대학부속초등학교","02","사립","N","","복식부기","예산세출","4101314000","829225000","666144000","1289094000","292775000","538248000","638200000","10000000"
"서울특별시교육청","서울특별시북부교육지원청","서울특별시 도봉구","S010001733","동북초등학교","02","사립","N","","복식부기","예산세출","2765768000","211369000","1172178000","69895000","265239000","806767000","250000000","3000000"
"서울특별시교육청","서울특별시북부교육지원청","서울특별시 노원구","S010001734","상명초등학교","02","사립","N","","복식부기","예산세출","3342554000","598153000","572352000","1123020000","361298000","599793000","301840000","30000000"
"서울특별시교육청","서울특별시북부교육지원청","서울특별시 노원구","S010001792","청원초등학교","02","사립","N","","복식부기","예산세출","2811183000","25160000","258869000","50771000","271234000","689341000","1648740000","46405000"
"서울특별시교육청","서울특별시북부교육지원청","서울특별시 노원구","S010001793","태강삼육초등학교","02","사립","N","","복식부기","예산세출","2352611000","735242000","1287124000","1355082000","187806000","418436000","330496000","0"
