"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","예결산구분","세입세출구분","인적자원운용","학생복지/교육격차해소","기본적교육활동","선택적교육활동","교육활동지원","학교일반운영","학교시설확충","학교재무활동"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010001061","유석초등학교","02","사립","N","","복식부기","예산세출","1711813000","302525000","208249000","773948000","83891000","397443000","200000000","0"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 금천구","S010001197","동광초등학교","02","사립","N","","복식부기","예산세출","1483208000","841184000","546693000","1452336000","246642000","255004000","240000000","0"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 동대문구","S010001394","경희초등학교","02","사립","N","","복식부기","예산세출","3387449000","29802000","605414000","25460000","81452000","242640000","372000000","60000000"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 중랑구","S010001395","금성초등학교","02","사립","N","","복식부기","예산세출","3052827000","751571000","1085779000","417689000","203905000","907954000","925936000","0"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 동대문구","S010001396","서울삼육초등학교","02","사립","N","","복식부기","예산세출","2242774000","669636000","1231835000","1079116000","185750000","371918000","30000000","10000000"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 동대문구","S010001434","은석초등학교","02","사립","N","","복식부기","예산세출","4129193000","349708000","63000000","0","151200000","689026000","306000000","0"
"서울특별시교육청","서울특별시동작관악교육지원청","서울특별시 동작구","S010001613","중앙대학교사범대학부속초등학교","02","사립","N","","복식부기","예산세출","4148940000","276204000","766785000","1358648000","366368000","600956000","514600000","13000000"
"서울특별시교육청","서울특별시북부교육지원청","서울특별시 도봉구","S010001733","동북초등학교","02","사립","N","","복식부기","예산세출","2590670000","256532000","1178243000","91257000","441846000","811224000","406000000","3000000"
"서울특별시교육청","서울특별시북부교육지원청","서울특별시 노원구","S010001734","상명초등학교","02","사립","N","","복식부기","예산세출","3514410000","767800000","588720000","1161214000","254820000","717338000","584413000","30000000"
"서울특별시교육청","서울특별시북부교육지원청","서울특별시 노원구","S010001792","청원초등학교","02","사립","N","","복식부기","예산세출","2811576000","40563000","300604000","71082000","274940000","540914000","65000000","202994000"
"서울특별시교육청","서울특별시북부교육지원청","서울특별시 노원구","S010001793","태강삼육초등학교","02","사립","N","","복식부기","예산세출","2426785000","787032000","1336075000","1293231000","241409000","521483000","64544000","0"
"서울특별시교육청","서울특별시북부교육지원청","서울특별시 도봉구","S010001794","한신초등학교","02","사립","N","","복식부기","예산세출","2365143000","839331000","519794000","1283587000","156878000","427771000","50000000","25099000"
