"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","예결산구분","세입세출구분","정부이전수입","기타이전수입","학부모부담수입","지원금수입","행정활동수입","기타"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010001061","유석초등학교","02","사립","N","","복식부기","예산세입","0","2200000","3675767000","0","15800000","400000000"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 금천구","S010001197","동광초등학교","02","사립","N","","복식부기","예산세입","0","90000000","5687084000","0","17946000","650000000"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 동대문구","S010001394","경희초등학교","02","사립","N","","복식부기","예산세입","0","161911000","4794944000","0","38800000","40000000"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 중랑구","S010001395","금성초등학교","02","사립","N","","복식부기","예산세입","0","73115000","6057286000","0","53820000","2750000000"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 동대문구","S010001396","서울삼육초등학교","02","사립","N","","복식부기","예산세입","0","0","6998277000","0","60405000","0"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 동대문구","S010001434","은석초등학교","02","사립","N","","복식부기","예산세입","0","124000000","5464122000","0","25510000","141741000"
"서울특별시교육청","서울특별시동작관악교육지원청","서울특별시 동작구","S010001613","중앙대학교사범대학부속초등학교","02","사립","N","","복식부기","예산세입","0","87800000","7342484000","0","45716000","288000000"
"서울특별시교육청","서울특별시북부교육지원청","서울특별시 도봉구","S010001733","동북초등학교","02","사립","N","","복식부기","예산세입","0","0","5442296000","0","50029000","4064116000"
"서울특별시교육청","서울특별시북부교육지원청","서울특별시 노원구","S010001734","상명초등학교","02","사립","N","","복식부기","예산세입","0","9740000","6889120000","0","28810000","1601000000"
"서울특별시교육청","서울특별시북부교육지원청","서울특별시 노원구","S010001792","청원초등학교","02","사립","N","","복식부기","예산세입","0","0","4373160000","0","78800000","235000000"
"서울특별시교육청","서울특별시북부교육지원청","서울특별시 노원구","S010001793","태강삼육초등학교","02","사립","N","","복식부기","예산세입","0","12000000","6757819000","0","25110000","150000000"
"서울특별시교육청","서울특별시북부교육지원청","서울특별시 도봉구","S010001794","한신초등학교","02","사립","N","","복식부기","예산세입","0","0","6165997000","0","25028000","480000000"
"서울특별시교육청","서울특별시북부교육지원청","서울특별시 노원구","S010001795","화랑초등학교","02","사립","N","","복식부기","예산세입","0","10000000","8215701000","0","40000000","360000000"
"서울특별시교육청","서울특별시서부교육지원청","서울특별시 서대문구","S010001966","경기초등학교","02","사립","N","","복식부기","예산세입","0","0","6560154000","0","17050000","100000000"
"서울특별시교육청","서울특별시서부교육지원청","서울특별시 서대문구","S010001967","명지초등학교","02","사립","N","","복식부기","예산세입","0","0","5861666000","0","39192000","200000000"
"서울특별시교육청","서울특별시서부교육지원청","서울특별시 은평구","S010002019","선일초등학교","02","사립","N","","복식부기","예산세입","0","5000000","4939408000","0","62000000","350000000"
"서울특별시교육청","서울특별시서부교육지원청","서울특별시 은평구","S010002021","예일초등학교","02","사립","N","","복식부기","예산세입","0","75877000","3601148000","0","39529000","2290000000"
"서울특별시교육청","서울특별시서부교육지원청","서울특별시 서대문구","S010002023","이화여자대학교사범대학부속초등학교","02","사립","N","","복식부기","예산세입","0","273547000","6299742000","0","83280000","40000000"
"서울특별시교육청","서울특별시서부교육지원청","서울특별시 서대문구","S010002024","추계초등학교","02","사립","N","","복식부기","예산세입","382628000","110000000","2706299000","0","31073000","60000000"
"서울특별시교육청","서울특별시서부교육지원청","서울특별시 은평구","S010002025","충암초등학교","02","사립","N","","복식부기","예산세입","0","0","5127160000","0","52823000","1050000000"
"서울특별시교육청","서울특별시서부교육지원청","서울특별시 마포구","S010002026","홍익대학교사범대학부속초등학교","02","사립","N","","복식부기","예산세입","0","0","4072616000","0","52000000","600000000"
"서울특별시교육청","서울특별시성동광진교육지원청","서울특별시 광진구","S010002163","경복초등학교","02","사립","N","","복식부기","예산세입","0","10000000","8510970000","0","24160000","1000"
"서울특별시교육청","서울특별시성동광진교육지원청","서울특별시 광진구","S010002196","성동초등학교","02","사립","N","","복식부기","예산세입","10042000","17600000","5498744000","0","28160000","1850000000"
"서울특별시교육청","서울특별시성동광진교육지원청","서울특별시 광진구","S010002197","세종초등학교","02","사립","N","","복식부기","예산세입","1000000","1000000","4406536000","0","63214000","500000000"
"서울특별시교육청","서울특별시성동광진교육지원청","서울특별시 성동구","S010002198","한양초등학교","02","사립","N","","복식부기","예산세입","0","398703000","8105727000","0","15710000","1000000"
"서울특별시교육청","서울특별시성북강북교육지원청","서울특별시 성북구","S010002289","광운초등학교","02","사립","N","","복식부기","예산세입","0","0","6698436000","0","38500000","80000000"
"서울특별시교육청","서울특별시성북강북교육지원청","서울특별시 성북구","S010002290","대광초등학교","02","사립","N","","복식부기","예산세입","0","56123000","3234352000","0","17700000","150000000"
"서울특별시교육청","서울특별시성북강북교육지원청","서울특별시 성북구","S010002291","매원초등학교","02","사립","N","","복식부기","예산세입","0","8000000","5958522000","0","44620000","480000000"
"서울특별시교육청","서울특별시성북강북교육지원청","서울특별시 성북구","S010002326","성신초등학교","02","사립","N","","복식부기","예산세입","0","1000000","4159405000","0","9716000","350000000"
"서울특별시교육청","서울특별시성북강북교육지원청","서울특별시 강북구","S010002327","영훈초등학교","02","사립","N","","복식부기","예산세입","0","273389000","8008698000","0","33586000","700000000"
"서울특별시교육청","서울특별시성북강북교육지원청","서울특별시 성북구","S010002328","우촌초등학교","02","사립","N","","복식부기","예산세입","22312000","0","7986323000","0","85810000","670000000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010002365","계성초등학교","02","사립","N","","복식부기","예산세입","0","449905000","6535756000","0","57253000","0"
"서울특별시교육청","서울특별시중부교육지원청","서울특별시 중구","S010002366","동산초등학교","02","사립","N","","복식부기","예산세입","22312000","30000000","6066906000","0","64000000","0"
