"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","교과프로그램수","교과수강학생수","특기적성프로그램수","특기적성수강학생수","프로그램수(계)","수강학생수(계)","방과후학교참여학생수","초등돌봄교실 오후돌봄운영교실수","초등돌봄교실 오후돌봄참여학생수","초등돌봄교실 저녁돌봄운영교실수","초등돌봄교실 저녁돌봄참여학생수","초등돌봄교실방과후학교 연계형돌봄운영교실수","초등돌봄교실방과후학교 연계형돌봄참여학생수","특수학교종일반 학급수","특수학교종일반 참여학생수","방과후학교 수익자부담금액","방과후학교 수익자부담외지원금액","초등돌봄교실 수익자부담금액","초등돌봄교실 수익자부담외지원금액"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000761","서울서원초등학교","02","공립","N","","0","0","0","0","0","0","0","5","162","1","17","0","0","0","0","635800460","542000","33024000","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000762","서울서이초등학교","02","공립","N","","0","0","0","0","0","0","0","3","84","1","10","1","38","0","0","537360655","8624345","33338200","1089400"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000763","서울서일초등학교","02","공립","N","","0","0","0","0","0","0","0","3","18","1","1","0","0","0","0","357549470","8070000","22420800","104380450"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000764","서울서초초등학교","02","공립","N","","0","0","0","0","0","0","0","1","42","1","8","1","21","0","0","640549730","7805380","15051920","24000000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000765","서울수서초등학교","02","공립","N","","0","0","0","0","0","0","0","2","46","0","0","0","0","0","0","80093900","41578300","14829000","74306060"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000766","서울신구초등학교","02","공립","N","","0","0","0","0","0","0","0","3","56","0","0","0","0","0","0","418923000","26155000","23844000","24000000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000767","서울신동초등학교","02","공립","N","","0","0","1","17","1","17","17","4","77","0","0","0","0","0","0","642891220","15194400","44862600","192331940"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000768","서울신중초등학교","02","공립","N","","0","0","0","0","0","0","0","2","29","0","0","0","0","0","0","707847770","19235320","14856800","47338320"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000769","서울압구정초등학교","02","공립","N","","0","0","0","0","0","0","0","1","40","0","0","0","0","0","0","854812210","19235950","6606000","46732530"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000770","서울양재초등학교","02","공립","N","","0","0","0","0","0","0","0","4","74","1","10","1","27","0","0","498054290","26047100","30270730","126048950"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000771","서울양전초등학교","02","공립","N","","0","0","0","0","0","0","0","2","60","0","0","1","30","0","0","227669560","19948160","20710000","84677700"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000772","서울언남초등학교","02","공립","N","","0","0","0","0","0","0","0","6","59","1","4","2","17","0","0","792453000","56061000","62066000","201955000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000773","서울언북초등학교","02","공립","N","","0","0","0","0","0","0","0","4","43","0","0","0","0","0","0","834055280","42262260","35583350","38110000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000774","서울언주초등학교","02","공립","N","","0","0","0","0","0","0","0","7","151","1","6","1","25","0","0","1462845260","51976330","45798250","2097750"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000775","서울역삼초등학교","02","공립","N","","0","0","0","0","0","0","0","3","52","1","4","0","0","0","0","209591250","25936000","33433000","130746210"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000776","서울영희초등학교","02","공립","N","","0","0","0","0","0","0","0","3","37","0","0","0","0","0","0","112946420","40049480","18903500","23724000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000777","서울왕북초등학교","02","공립","N","","0","0","0","0","0","0","0","3","67","1","5","1","10","0","0","384739970","40909700","20400000","34000000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000778","서울우암초등학교","02","공립","N","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","176449200","18884260","18544440","3068920"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000779","서울원명초등학교","02","공립","N","","0","0","0","0","0","0","0","3","70","0","0","0","0","0","0","622386925","7520000","17000850","108284370"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000780","서울원촌초등학교","02","공립","N","","4","46","0","0","4","46","46","2","39","0","0","0","0","0","0","724381700","8400000","25840020","23858000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000781","서울이수초등학교","02","공립","N","","0","0","0","0","0","0","0","4","41","0","0","0","0","0","0","240961590","14977520","24676800","118063570"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000782","서울일원초등학교","02","공립","N","","0","0","0","0","0","0","0","2","19","0","0","0","0","0","0","198644590","11250540","14400000","0"
